ID,Category,cleaned_text
16852973,HR,hr administratormarketing associate hr administrator summary dedicated customer service manager year experience hospitality customer service management respected builder leader customerfocused team strives instill shared enthusiastic commitment customer service highlight focused customer satisfaction team management marketing savvy conflict resolution technique training development skilled multitasker client relation specialist accomplishment missouri dot supervisor training certification certified ihg customer loyalty marketing segment hilton worldwide general manager training certification accomplished trainer cross server hospitality system hilton onq micros opera pm fidelio opera reservation system or holidex completed course seminar customer service sale strategy inventory control loss prevention safety time management leadership performance assessment experience hr administratormarketing associate hr administrator dec current company name city state help develop policy directs coordinate activity employment compensation labor relation benefit training employee service prepares employee separation notice related documentation keep record benefit plan participation insurance pension plan personnel transaction hire promotion transfer performance review termination employee statistic government reporting advises management appropriate resolution employee relation issue administers benefit program life health dental insurance pension plan vacation sick leave leave absence employee assistance marketing associate designed created marketing collateral sale meeting trade show company executive managed inhouse advertising program consisting print medium collateral piece assisted complete design launch company website month created official company page facebook facilitate interaction customer analyzed rating programming feature competitor evaluate effectiveness marketing strategy advanced medical claim analyst mar dec company name city state reviewed medical bill accuracy treatment test hospital stay prior sanctioning claim trained interpret code icd cpt terminology commonly used medical billing fully understand paperwork submitted healthcare provider required organizational analytical skill well computer skill knowledge medical terminology procedure statistic billing standard data analysis law regarding medical billing assistant general manager jun dec company name city state performed duty including limited budgeting financial management accounting human resource payroll purchasing established maintained close working relationship department hotel ensure maximum operation productivity morale guest service handled daily operation reported directly corporate office hired trained staff overall objective goal emphasis high customer service marketing advertising working public relation medium government local business chamber commerce executive support marketing assistant jul jun company name city state provided assistance various department head executive marketing customer service human resource managed frontend operation ensure friendly efficient transaction ensured swift resolution customer issue preserve customer loyalty complying company policy exemplified secondtonone customer service delivery interaction customer potential client reservation front office manager jun jul company name city state owner partner dec may company name city state price integrity coordinator aug dec company name city state education na business administration jefferson college city state business administration marketing advertising high school diploma college prep study sainte genevieve senior high city state awarded american shrubel leadership scholarship jefferson college skill accounting ad advertising analytical skill benefit billing budgeting client customer service data analysis delivery documentation employee relation financial management government relation human resource insurance labor relation layout marketing marketing collateral medical billing medical terminology office organizational payroll performance review personnel policy poster presentation public relation purchasing reporting statistic website
22323967,HR,hr specialist u hr operation summary versatile medium professional background communication marketing human resource technology experience current hr specialist u hr operation company name city state managed communication regarding launch operation group policy change system outage designed standard work job aid create comprehensive training program new employee contractor audited job posting old pending onhold draft position audited union hourly nonunion hourly salary background check drug screen conducted monthly new hire benefit briefing new employee across business unit served link hr manager vendor handling question resolving systemrelated issue provide realtime process improvement feedback key metric initiative successfully rebranded u hr operation sharepoint site business unit project manager rfirfp background check drug screen vendor marketing communication coop company name city state posted new article change update corporate sharepoint site including graphic visual communication researched drafted article feature story promote company activity program coedited developed content quarterly published newsletter provided communication support internal external event collaborated communication team medium professional vendor determine program need print material web design digital communication entrusted lead product service software launch digital asset management tool marketing toolkit website executive tradeshows calendar created presentation management executive approval ensure alignment corporate guideline branding maintained mysikorsky sharepoint site provided timely solution mitigate issue created story board produced video annual hand meeting relationship coordinatormarketing specialist company name city state partnered vendor manage inhouse advertising program consisting print medium collateral piece coordinated preshow postshow activity trade show managed marketing campaign generate new business support partner sale team ordered marketing collateral meeting trade show advisor improved administered modified marketing program increase product awareness assisted preparing internal promotional publication managed marketing material inventory supervised distribution publication ensure high quality product output coordinated marketing material including brochure promotional material product partnered graphic designer develop appropriate material branding brochure used tracking reporting system sale lead appointment assistant head teller company name city state received internal audit score performed daily monthly audit atm machine teller educated customer variety retail product available credit option consistently met exceeded quarterly sale goal promoted product service customer maintaining company brand identity implemented program achieve exceed customer company participation goal organized company sponsored event campus resulting increased brand awareness coached peer proper use program improve work flow efficiency utilized product knowledge successfully sell refer client based individual need promoted marketing grand opening new branch location strengthen company brand affinity organized company sponsored event resulting increased brand awareness improved sale coached peer proper use program increase work flow efficiency senior producer shu medium exchange company name city state planned executed event focusing connecticut creative corridor growth industry opportunity come development panel industry professional addressed topic related medium hosted question answer session approximately attendee following forum guest invited engage networking conversation postevent reception education master art corporate communication public relation sacred heart university city state bachelor art relational communication western connecticut state university city state skill adobe photoshop adp asset management branding brochure content customer care final cut pro graphic graphic hr illustrator indesign innovation inventory lotus note marketing marketing material marketing material material microsoft office sharepoint newsletter presentation process improvement project management promotional material publication quality realtime recruitment reporting rfp sale story employee development video web design website article
33176873,HR,hr director summary year experience recruiting plus year human resource executive management year hris development maintenance year working healthcare enviroment skill recruiting fmlaeeoflsa hris development benefit administration policy development web page development accomplishment kansa health institute health outcome state kansa membership accolade project management institute member shrm chamber commerce friend university president honor roll friend university dean honor roll student liaison friend university topeka member mothertomother member topeka advertising federation several production piece created nominated addy award received recognition outstanding customer service assistance state kansa travel tourism department ashhra kahhr acm additional information leading change instrumental development implementation adjutant general retention research project involving survey development analyzing result survey present adjutant general help retain qualified talent department tasked working federal security manager joint force headquarters developing policy procedure process ensure current new state employee appropriate security clearance position held per federal government requirement lmis lead job vacancy project able produce result less time man hour year staff inexperienced jvc process procedure responsible develop plan implement database program last three position held designed cultivate involve renew contact promote active potential employee database used reporting fte usage budget management turnover report working healthcare field took initiative creating local website used receive respond request information assistance marketing promoting healthcare facility along recruitment potential employee human resource coordinator healthcare field managed front office personnel reduced contract labor cost nursing staff implemented unique pay structure increase prn staff utilization continually think outsidethebox create develop strategy resolve issue faced work environment current position met exceeded hiring goal firm resulted client increasing business transferred location experience hr director current company name city state developed new website agency payroll processing change implementation new hris system oversaw employment process taking lead role clinician physician management team recruitment initiative developed maintain interpret hr policy authored employee handbook provided coaching support management supervisor performance management related issue maintained indepth knowledge legal requirement related daytoday management employee reducing legal risk ensuring regulatory compliance evaluated recommend change employee benefit plan oversaw day day administration benefit hr director company name city state develped supervisory education shro website shro hris system automation payroll processing established directed comprehensive statewide human resource program classified unclassified state employeespositions adjutant general department resolved nonroutine hr related issue associated arose reviewed document approved hire promotion review approved modified andor disapproved wagesalary request hire individual preestablished minimum classified unclassified pay rate reviewed significant change position description determined reclassification pursued reviewed position description new position determined appropriate wage range based comparable classified position exist consulted tag military state manager supervisor order provide technical common sense guidance properly addressing sensitive complex employee organizational issue aided achieving ever changing program goal provided innovative idea staffing served administration management representative labor negotiation local kape unit th fire department hr managersr recruiter company name city state created hris tracking system used recruitment responsible ramp hiring customer service agent position needed placement development advertising met exceeded hiring goal responsible hiring senior management cover duty team manager payroll quality control responsible recruitment new employee meeting exceeded goal set coordinated facilitated manpower planning recruitment retention career development training staff relation compensation benefit compliance local state federal statutory regulation public program regulatory audit procedure served resource person administration midlevel management staff regarding hr related human resource coordinator company name city state developed hris database ground employee record monitoring instrumental reducing use agency staffing need hospital coordinated facilitates manpower planning recruitment retention career development training staff relation compensation benefit compliance local state federal statutory regulation public program regulatory audit procedure served hr resource source administration midlevel management staff coordinated hiring procedure appraisal pay increase promotion transfer termination job posting corrective action one person office responsible osha work comp benefit payroll etc education training master degree information management system friend university city state united state credit earned semester hour information management system bachelor science organizational management friend university city state united state credit earned semester hour activity honor topeka chamber commerce ambassador kansa hospital association health care human resource member shrm legislative liaison skill desktop publishing newsletter production database management leadership training osha fmla worker compensation pagemaker agency automation backup benefit budget management corel suite harvard graphic access excel microsoft publisher m word quark express quattro pro strategic planning web page development wordperfect
27018550,HR,hr specialist summary dedicated driven dynamic year customer service expertise motivated maintain customer satisfaction contribute company success emphasis personnel process management solid team player proven ability establish rapport client skill type wpm key touch microsoft program word excel access outlook powerpoint personnel management telephone inquiry specialist excellent customer service skill call quality customer satisfaction primary focus inbound outbound contact center experience excellent oral written presentation seasoned conflict resolution experience hr specialist may oct company name city state accenture peopleline email management team received inbound email client initial point contact answer question related hr policy practice resolve issue helped client answering inquiry resolving issue routing email caseworker resolution recorded tracked client issue via case management tool initiation resolution maintained record customer interaction transaction documenting detail inquiry complaint comment well action taken customer service representative mar feb company name city state maintained record customer interaction transaction documenting detail inquiry complaint comment well action taken developed implemented filing delivery method fmla short term disability documentation respective global clientele facilitated communication absence management team client internal departmental team organized maintained payroll people service database management system communicated client internalexternal departmental team mitigated risk resolution regarding policy transaction query call centre shift supervisor aug mar company name city state answered dispatched call medical professional client san antonio surrounding area provided call monitoring ensure staff adhering quality call control maintained call book various medical staff ensure correct staff contacted hour weekend education training certificate completion business administration texas extension service city state skill key touch type wpm filing access microsoft excel microsoft outlook microsoft powerpoint microsoft word
17812897,HR,hr manager skill highlight hr skill hr department startup three new organization startup employment law fmlaadaeeowc mediation advocacy hr policy procedure staff recruitment retention salary negotiation employee relation benefit administration unemployment administration worker compensation administration orientation onboarding hris technology training development performance management organizational development hr programproject management hris application lawson paychex kronos adp m office word excel powerpoint publisher access visio outlook professional experience hr manager jan current company name city state manage human resource function ecycles corporate office well fulfillment data center consisting benefit compensation administration payroll employee relation policy compliance recruitment key result foster associateoriented culture emphasizes continuous improvement team work high performance quality ensure organizational conformation applicable hr related regulation statute well organizational procedure policy implement hr program policy needed organization identify evaluate resolve human relation employee morale work performance organizational productivity concern develop staffing strategy implement program plan identify cultivate effective appropriate source employee job level create assist creation associate training organizational development program develop manage annual associate review process insure regional staff included corporate activity feel like part team responsible human resource management system provide staff management essential reporting information order help managing associate resource recruit retain top quality associate department includes recruiting nationally case executive level create assist creation compensation plan employee benefit administration consisting health dental vision vstd vltd k successful reducing health benefit expected increase first month organization sr hr manager jan jan company name city state leader within hr operation team instrumental partnering local leadership corporate hr develop implement hr policy process technology service aligned support company strategic initiative order successful startup key result coordinated effort recruit hire full time hourly associate management level employee converting agency staff full time instrumental managing creating set hr business office included development personnel file new hire practice payroll hr reporting manage providing direction development hr develop hr delivery business continued grow strategic business partner site director well operation leader support startup operation daytoday operation peak season planning staffing operation worked successfully local temporary agency order staff peak volume consisted total associate delivering million unit black friday christmas influence hr strategy execute tactical direction facility within overall hr strategy ensure internal consistency hr policy procedure across multiple location interact corporate hr team exempt staffing compensation benefit functional group order support operation maintain knowledge hr policy procedure law regulation industry trend development ensure accurate information communicated throughout company develop work environment demonstrates fanatic core value provide strategic direction leadership development workforce planning initiative within fulfillment center coach senior business leader front line supervisor hr police procedure best practice dealing employee relation issue poor performance attendance behavior conduct issue championed fun friendly approachable hr team professional ensure integrity maintenance confidentiality personnel record accordance policy procedure applicable federal state law improve hr service delivery line overall business performance expectation look way innovate system hr delivery people process technology manage hr function measurable objective communicate bottom line impact hr delivery business hr director jan jan company name city state member executive team directly solely responsible providing situation appropriate policy compliant human resource support separate business unit community based nonprofit health care organization approximately employee key result played key role ensuring successful merge five separate private physician practice one nonprofit organization structured implemented program policy area compensation structure benefit package incentive compensation plan physician employment contract fostered teamworkopendoor environment conducive positive dialogue across organization overall employee satisfaction rating responsible maintaining staffing level position within health center consisted full time part time oncall staff negotiated salary offer exempt nonexempt level successful recruitment physician ceo coo cfo cmo various manager wrote employee manual covering issue including disciplinary procedure code conduct fmla attendance policy benefit information implemented employee satisfaction survey presented result board director introduced company first formal performance review program developed job description across level category shadowed interviewed employee construct accurate picture duty skill required position hr representative jan jan company name city state nation largest smallbox discount retailer fulfilled broad range hr generalist function including recruiting administering benefit overseeing disciplinary action managing hr support staff key result trained management team interviewing technique best practice conducted workshop oneonone coaching session contributed sound hiring decision instrumental startup new million sq ft state art distribution center hiring plus employee within first year consisted part time full time temporary staff overseen moraleboosting program including special event annual employee picnic attendance safety banquet etc increased employee satisfaction productivity investigated employee relation issue sexual harassment discrimination inappropriate conduct either hourly employee management staff responsible staffing hourly position consisted maintaining hourly employee among three shift education bachelor business administration mount vernon nazarene university city state professional affiliation society human resource management shrm muskingum valley human resource management association skill ada adp art agency benefit benefit administration coach coaching conflict resolution continuous improvement contract decision making delivery direction employee relation special event financial functional hiring hris human resource management human resource human resource hr human relation kronos lawson leadership leadership development law legal compliance director managing management reporting mediation access excel m office office outlook powerpoint publisher win word negotiating negotiation organizational development organizational payroll peak performance management personnel policy problem solving process profit implement program project management quality quantitative analysis recruitment recruiting reporting safety sound staff development staffing strategy strategic structured survey team work teamwork visio vision workshop
11592605,HR,hr generalist summary dedicated focused administrative assistant excels prioritizing completing multiple task simultaneously following achieve project goal seeking role increased responsibility authority highlight microsoft office proficiency excel spreadsheet meticulous attention detail resultsoriented selfdirected time management professional mature selfstarter legal administrative support experience hr generalist company name city state managed visa related employment process nonimmigrant faculty staff improved productivity enhanced visa related service improved operational structure developing guideline tool internal external administration nonimmigrant employment procedure reduced internal employment authorization processing time approximately percent prepared reviewed submitted petition uscis adjudication maintained electronic database petition filed served university point contact uscis developed presented university guideline adhere mandate presented uscis usdhs usdos presented monthly orientation created edited internally distributed biannual newsletter maintained hr website coordinator company name city state provided advice faculty staff scholar student interpreting complex regulatory guideline thoroughly prepared filed nonimmigrant petition uscis nonimmigrant student employee maintained highly confidential sensitive data identified designated school official nonimmigrant student program alternate responsible officer overseeing j exchange visitor program j employee assisted foreign national obtaining hb visa status employment u coordinated biannual student orientation created training program supervised trained volunteer supervised administrative assistant student employee managed coordinated student activity coordinatorinternational student advisorsecretary company name city state drafted meeting agenda supplied advance material executed followup meeting team conference managed receptionist area including greeting visitor responding telephone inperson request information designed electronic file system maintained electronic paper file handled medium public relation inquiry planned meeting prepared conference room wrote report correspondence dictation handwritten note dispersed incoming mail correct recipient throughout office made copy sent fax handled incoming outgoing correspondence created powerpoint presentation used business development organized file developed spreadsheet faxed report scanned document managed daily office operation maintenance equipment education aba approved paralegal program certification ba justice study montclair state university city state justice study psychology essex county college city state psychology certificate shrm essential human resource management program highlight performance management critical analysis recruitment selection strategic planning effective human resource management establishing competency new york institute technology city publication identified department state alternate responsible officer exchange visitor program recognized united state citizenship immigration service designated school official conference presenter national association foreign student advisor nafsa appointed acting assistant director coordinator international student brings calm attention detail approach place customer number one focus activity service style work benefit u annual performance evaluation njit overall performance level outstanding lisa quality employee often work beyond contractual hour complete task office could operate current modus operandi without effort annual performance evaluation merit proposal njit thank steadfast style contribution make office truly valued annual performance evaluation notification njit overall performance level commendableoutstanding calm humorous personable model patience annual performance evaluation njit overall performance level outstanding skill administrative administrative assistant bi conference database special event filing human resource management hr human resource management excel exchange microsoft office office outlook powerpoint word newsletter paralegal performance management process publication recruitment strategic planning supervisor training program travel arrangement visio website workshop annual report
25824789,HR,hr manager summary human resource manager extensive background administrative duty including experience implementing staff development training mediation conflict resolution benefit compensation training hr record management hr policy development legal compliance demonstrated success developing teambuilding program writing personnel manual coordinating special program job description online state mandated training highlight university eventsspecial program prepare agenda fmlaadaeeowc mediation advocacy hris technology tesol teacher university staff employee relation web design using reddot sharepoint hr programproject management microsoft office suite orientation onboarding training development performance management organizational development hr policy procedure publisherindesignquark accomplishment enjoy k runswalks note professional development complete ongoing training area compensation benefit employee labor relation leaf absence customer service supervisory training workplace safetysecurity created publication advertisement twu thehra conference invited guest speaker staff development day twu houston campus several affiliated conference developed online state mandated training twu employee experience hr manager current company name city state perform professional administrative work involving development administration coordination comprehensive series training development opportunity university staff faculty work performed considerable independent judgment wide latitude limited supervision director human resource professional service key result perform professional administrative work involving development administration coordination comprehensive series training development opportunity university staff faculty implementation tesol program teaching english speaker language conduct exit interview staff employee develops procedure resolving problem discovered exit interview responsible implementation maintenance training staff performance evaluation system coordinate service award staff award retirement recognition program responsible coordination new employee orientation maintain calendar plan scheduling special event training schedule new employee orientation schedule web spinner human resource newsletter using reddot sharepoint responsible establishing job standard subordinate staff effectively evaluation staff charge manage prioritize additional task assigned associate vice president hr representative iii company name city state promoted fulfill broad range hr function including training employee newly implemented peoplesoft time labor module administering fmla program managing hr record key result trained time keeper time keeping technique best practice conducting workshop oneonone coaching session contributed successful implementation peoplesoft leadership development training faculty staff translated facilitated training spanish designed refined course material need specific department assisted coordination special programsevents restaurant manager trainer company name city state responsible overall business performance managing restaurant training new employee key result encouraged guest satisfaction special event responsible hiring training wait staff bar staff kitchen staff translated facilitated training spanish designed refined training material need specific area assisted maintaining quality standard food health service safety education bachelor science b sociology texas woman university city state sociology affiliation society human resource management shrm north texas society human resource management ntshrm texas higher education human resource association thehra international tefl tesol training membership ittt denton high school girl softball association skill ada administrative skill administrative coaching employee relation training employee english special event hiring hris human resource hr indesign leadership development director managing mediation microsoft office suite publisher sharepoint newsletter organizational development peoplesoft performance management policy project management quality quark managing restaurant safety scheduling spanish supervision teacher teaching training material web design workshop
15375009,HR,hr manager professional summary senior hr professional continuous improvement approach building supporting organization driven hr manager bringing innovative approach human resource management creating teamdriven environment foster room development growth dedicated hr professional strong grasp employment law compliance issue benefit plan successfully introduces process improvement staffdevelopment initiative drive corporate goal attainment creative business partner dedicated developing unique employee orientation training program generate loyal knowledgeable staff skill administrative adp backup benefit bookkeeping clarify competitive customer service database delivery documentation employee relation filing government hr human resource human resource insurance job analysis labor relation law enforcement team building letter market meeting mail office payroll processing payroll personnel policy process project management proposal quality recruiting recruitment safety strategy employee handbook vendor management vendor management vision yearend work history hr manager current company name city state developed evolved department mission workflow structure continuously developing improving process everchanging environment implemented company first sourcing tracking system built comprehensive employee recruiting strategy allowing fill position period month cut cost per hire reduced average day fill position achieved department goal reducing turnover placed new benefit broker coordinated implementation new benefit program ensuring current competitive educated advised employee group health plan voluntary benefit k retirement plan managed aspect leave administration including employee notification vendor management disability program health benefit developed new process employee evaluation resulted marked performance improvement handled understaffing dispute terminating employee administering disciplinary procedure resolved employmentrelated dispute proactive communication offered fair equitable compensation comparing current salary market pay audited workplace employee management policy procedure developed enforced company policy procedure relating phase human resource activity sr hr generalist company name city state acted liaison maintained open line communication director middle management frontline employee developed company personnel policy standard operating procedure employee handbook established monitored employee pay scale audited workplace employee management policy procedure educated advised employee group health plan voluntary benefit k retirement plan built comprehensive employee recruiting strategy managed employee reward program conducted job analysis job evaluation resulting quality job specification developed innovative newemployee orientation program including safety training shadowed employee determine accurate description duty skill required position developed enforced company policy procedure relating phase human resource activity managed aspect leave administration including employee notification vendor management disability program health benefit benefit administrator company name city state closely partnering broker minimize yearoveryear cost increase medical dental vision health plan organized districtwide benefit fair provided handson customer service district employee retiree educated advised employee group health plan voluntary benefit retirement plan human resource supervisor company name city state led comprehensive safety training staff member handled understaffing dispute terminating employee administering disciplinary procedure resolved employmentrelated dispute proactive communication coordinated work activity subordinate staff relating employment compensation labor relation employee relation developed company personnel policy standard operating procedure employee handbook developed facilitated newhire orientation audited workplace employee management policy procedure educated advised employee group health plan voluntary benefit k retirement plan built comprehensive employee recruiting strategy developed innovative newemployee orientation program including safety training acted liaison employee insurance carrier resolve problem clarify benefit human resource generalistadministrative assistant company name city state conducted background check candidate obtaining information law enforcement official previous employer reference evaluated timecard accuracy regular overtime hour updated presentation document compensation committee review captured key feedback employee exit interview supported human resource staff new hire orientation monthly departmental meeting implemented tracking database employee professional development licensure renewal credit coordinated employment offer management extended offer selected candidate researched payroll cobra disability fmla issue reviewed human resource paperwork accuracy completeness verifying collecting correcting additional data managed aspect leave administration including employee notification vendor management disability program health benefit developed company personnel policy standard operating procedure employee handbook conducted employment verification investigation built comprehensive employee recruiting strategy shadowed employee determine accurate description duty skill required position developed enforced company policy procedure relating phase human resource activity acted liaison employee insurance carrier resolve problem clarify benefit processed unemployment claim acted company representative unemployment hearing human resource assistant company name city state performed various administrative function including filing paperwork delivering mail sorting mail office cleaning bookkeeping managed employee exit interview paperwork provided backup payroll needed recruited screened qualified potential employee developed facilitated newhire orientation conducted employment verification investigation facilitated criminal background check process new hire conducted background check candidate obtaining information law enforcement official previous employer reference supported human resource staff new hire orientation monthly departmental meeting implemented tracking database employee professional development licensure renewal credit entered personnel subcontractor data central database coordinated conducted new hire preinterviews assisted management staff annual yearend process data audit accurately prepared government compliance report proposal request employee data addressed resolved general payrollrelated inquires sent notice employee subcontractor regarding expiring documentation reviewed human resource paperwork accuracy completeness verifying collecting correcting additional data completed employee employment verification unemployment paperwork timely manner reviewed corrected job offer letter completeness accuracy approving delivery education bachelor science business management university phoenix san jose learning center city state business management mba university phoenix city state mba human resource notre dame de namur university city state human resource
11847784,HR,hr specialist summary possess year experience hr classificationcompensation lead hr specialist recruitment managed recruitment effort included qualifying candidate based documented knowledge skill ability match organizational resource need ensured candidate fulfillment preemployment process ie background check drug screen reference check developed implemented competency skillbased pay program variety occupation including medical nurse mechanical machine operator civil engineer led statewide review job employee toward determining appropriate flsa designation eg executive administrative computerrelated creative provided executive middle management consultation toward acquiring classlevels role necessary accomplish departmental goal objective resulted mission success training development eight year experience training development included development delivery leadership managementsupervisory skill acquisition additionally developed policy procedural training including performance management interaction management ada prevention workplace violence sexual harassment skill management consultation negotiation outlook erecruitment hr policiesprocedures provision excellent customer service microsoft application word excel powerpoint skill problemsolve serve change agent ensure hr function included organizational mission negotiate budget revision include hr initiative ensure excellent customer service delivery provide statefederal softskills managementemployee training conduct job analysis well conduct compensationjob market analysis deliver measure leadership training develop implement monitor performance management develop implement monitor personnel policy procedure manage fullcycle recruitment experience hr specialist company name city state managed fullcycle recruitment effort multistate need ensured candidate job qualification matched minimum ksas completed preemployment process background check drug screen reference check conducted onboarding orientation conducted initial phone screen recommended applicant onsite interview contacted candidate salaryhourly wage offer negotiated start date hr analyst company name city state conducted analysis role position within month period recommended developed implemented new classification levelbased evolution role security radiation class conducted labormarket study recommended implemented monitored compensation practice recruitment reviewed approved referred candidate management selection based documented ksas required education experience requirement budget daily contact budget manager ensure request additional salary need included budgetary revisionsand legislative special request salary administration reviewed justified approved management request salary adjustment based expanded variety scope responsibility determined appropriate percentage increase status tempperm manager classificationcompensation company name city state reduced established timeframe individual job analysis average four month calendar day established requirement template project management communication plan prioritized assigned classification compensation study review established coordinated recruitment referral cabinet council state member conducted statewide flsa evaluation resulted appropriate designation ensured legaljustified salary administration practice manager recruitmentclassificationcompensation company name city state reduced backlog managementrequested classificationcompensation study individual job review win fourmonth period supervised recruitment effort occupational need hospital wellversed neogov erecruitment reviewed management request occupational individual position study toward upgrade reallocation downgrade salary adjustment competency skillbased pay program nurse mechanical trade institutional service personnel senior hr analyst company name city state oversight hr classificationcompensation activity field hr manager analyst project manager variety occupational competency skillbased pay program managed statewide competencybasedpay program nurse qualified applicant job reviewed approved request salary exception career progression inrange salary adjustment led statewide flsa designation analysis employee processed reductioninforce activity developed delivered training departmentwide employee regarding variety regulation law rule policy procedure ensured field hr manager fulfilled performance management initiative senior hr analyst company name city state facilitated development statewide policy procedure competency skillbased pay program partnered manager agency leader create cbps technical softskills managed statewide skillbased pay program machine operator training development specialist company name city state assessed educationaltraining need developed delivered evaluated leadership technical administrative statefederalmandated employee training based astd principle served team lead development delivery statewide initiative performancebased pay performance evaluation major contributor toward research development internal ethical practice trainerseducational leader education training bachelor art english litlanguage nc state university city state u
32896934,HR,hr clerk summary translates business vision hr initiative improve performance profitability growth employee engagement developing improving managing hr strategy benefit compensation employee recruitment development ethic corporate social responsibility diversity safety security business strategy worked continuous improvement program connection development lean six sigma strategy program highlight new employee orientation applicant tracking system onboarding payroll management includes timekeeper kronos timekeeping system compensation benefit performance management worker compensation general ledger accounting database management continuous improvement six sigma lean manufacturing business strategy experience current hr clerk company name city state coordinate oversea recruitment orientation program support hr assigned special project coordinate support hiring temporary hourly employee administrative coordinator company name city state coordinate oversees performs wide variety administrative secretarial program support activity serf primary point operational administrative contact internal external constituency often complex confidential issue participates coordination supervision completion special project andor event one project included setup service provider contract hr duty included maintenance employee record recruitment employee orientation onboarding administrative assistantbookkeeper company name city state provides highlevel administrative support human resource account payable purchasing department primary duty includes bookkeeping ar ap general ledger duty related daily maintenance financial period closure well human resource support focusing payroll administration compensation benefit administration responsibility hr duty included applicant tracking employee record maintenance benefit compensation payroll worker compensation reporting clerical ii company name city state provides highlevel administrative support conducting research preparing statistical report handling information request performing clerical function preparing correspondence receiving visitor arranging conference call scheduling meeting provides hr administrative support including administration timekeeping system coordination employee timeoff scheduling maintenance employee information interpretation policy regarding employee timeoff administrator three database labor skill mrp vacation calendar provides administrative support continuous improvement program safety program executive secretary company name city state provides bookkeeping clerical support including monthly invoicing correspondence receiving visitor arranging conference call scheduling meeting provides support human resource functional area including tracking worker compensation developing employee handbook maintaining material safety data sheet education shrm learning system shrm program cover shrm body competency knowledge shrm bock preparing shrmcpshrmscp certification examination shrm bachelor degree bsmhrm business management hr management university phoenix city state program provides foundational knowledge human resource generalist explores five key hr function staffing compensation benefit training development employee relation examined trend useful metric applicable federal law legal issue learned apply metric hr function shrm essential hr management shrm program provides critical knowledge necessary starting hr profession performing hr duty part nonhr job looking effective way boost employee management skill offer critical knowledge necessary help reduce cost avoid potential lawsuit improve ability handle challenging hr issue business management hr management associate degree business management blue ridge community college city state business management shrmcp certification shrm professional credential blue ridge community college accomplishment tyco electronics best practice vacation database mrp calendar used scheduling plant tyco electronics staffing project brain storm employee development engagement idea use local corporate tyco electronics project team lead updating employee skill database promoted knowledge program increased usage program within division professional affiliation shrm society human resource management shenandoah valley society human resource management local chapter shrm skill account payable administrative administrative support ap benefit benefit administration bookkeeping clerical continuous improvement database employee relation financial functional general ledger human resource human resource hr interpretation invoicing legal employee management meeting mrp payroll purchasing receiving recruitment reporting research safety scheduling secretarial staffing supervision
